Field_Name,Table
INRESPC1,INS
INRESPC2,INS
INRESPC3,INS
INRESPC4,INS
INRESPC5,INS
INRESPC6,INS
INOTHRC1,INS
INOTHRC2,INS
INOTHRC3,INS
INOTHRC4,INS
INOTHRC5,INS
INOTHRC6,INS
INOTHRC7,INS
INOTHRC8,INS
INRESPC7,INS
INRESPC8,INS
INSCOMM,INS
INVCOMM,INV
INXCOMM,INX
ISPRMQ1,IS1
ISPOP1,IS1
ISDOTSP1,IS1
ISINCL1,IS1
ISEXCL1,IS1
ISINSTR1,IS1
ISOUTCM1,IS1
ISELEM1,IS1
ISOINST1,IS1
ISTRT1,IS1
ISOTPSP1,IS1
ISAMOSP1,IS1
ISMIXSP1,IS1
ISSOTSP1,IS1
ISFOTSP1,IS1
ISOTDSP1,IS1
ISOTINF1,IS1
ISPRMQ2,IS2
ISPOP2,IS2
ISDOTSP2,IS2
ISINCL2,IS2
ISEXCL2,IS2
ISINSTR2,IS2
ISOUTCM2,IS2
ISELEM2,IS2
ISOINST2,IS2
ISTRT2,IS2
ISOTPSP2,IS2
ISAMOSP2,IS2
ISMIXSP2,IS2
ISSOTSP2,IS2
ISFOTSP2,IS2
ISOTDSP2,IS2
ISOTINF2,IS2
ISPRMQ3,IS3
ISPOP3,IS3
ISDOTSP3,IS3
ISINCL3,IS3
ISEXCL3,IS3
ISINSTR3,IS3
ISOUTCM3,IS3
ISELEM3,IS3
ISOINST3,IS3
ISTRT3,IS3
ISOTPSP3,IS3
ISAMOSP3,IS3
ISMIXSP3,IS3
ISSOTSP3,IS3
ISFOTSP3,IS3
ISOTDSP3,IS3
ISOTINF3,IS3
ISPRMQ4,IS4
ISPOP4,IS4
ISDOTSP4,IS4
ISINCL4,IS4
ISEXCL4,IS4
ISINSTR4,IS4
ISOUTCM4,IS4
ISELEM4,IS4
ISOINST4,IS4
ISTRT4,IS4
ISOTPSP4,IS4
ISAMOSP4,IS4
ISMIXSP4,IS4
ISSOTSP4,IS4
ISFOTSP4,IS4
ISOTDSP4,IS4
ISOTINF4,IS4
ISPRMQ5,IS5
ISPOP5,IS5
ISDOTSP5,IS5
ISINCL5,IS5
ISEXCL5,IS5
ISINSTR5,IS5
ISOUTCM5,IS5
ISELEM5,IS5
ISOINST5,IS5
ISTRT5,IS5
ISOTPSP5,IS5
ISAMOSP5,IS5
ISMIXSP5,IS5
ISSOTSP5,IS5
ISFOTSP5,IS5
ISOTDSP5,IS5
ISOTINF5,IS5
IW2DUMMY,IW2
IWSDUMMY,IWS
LABCOMM,LAB
LSRCOMM,LSR
MADCOMM,MAD
MAOT1SP,MAT
MAOT2SP,MAT
MATCOMM,MAT
MHEYESP,MHX
MHEARSP,MHX
MHRESPSP,MHX
MHCARDSP,MHX
MHLIVRSP,MHX
MHGISP,MHX
MHSKINSP,MHX
MHMUSCSP,MHX
MHMETASP,MHX
MHENDOSP,MHX
MHRENLSP,MHX
MHREPOSP,MHX
MHELPYSP,MHX
MHNEURSP,MHX
MHNERVSP,MHX
MHANXSP,MHX
MHADHDSP,MHX
MHBPLRSP,MHX
MHMDDSP,MHX
MHSCHZSP,MHX
MHSIDSP,MHX
MHSBEHSP,MHX
MHHIDSP,MHX
MHHBEHSP,MHX
MHVBEHSP,MHX
MHPSYESP,MHX
MHPSYOSP,MHX
MHOTHR1,MHX
MHOTHR1S,MHX
MHOTHR2,MHX
MHOTHR2S,MHX
MHOTHR3,MHX
MHOTHR3S,MHX
MHSRG1,MHX
MHSRG2,MHX
MHSRG3,MHX
MHSRG4,MHX
MHSRG5,MHX
MHTRTOSP,MHX
MHHIVOSP,MHX
MHXCOMM,MHX
MINCOMM,MIN
MMPSYCSP,MMC
MMCCOMM,MMC
MDPSYCSP,MMD
MMDCOMM,MMD
MMCOMM00,MML
MMCOMM01,MML
MMCOMM02,MML
MMCOMM03,MML
MMCOMM04,MML
MMCOMM06,MML
MMCOMM08,MML
MMCOMM10,MML
MMCOMM12,MML
MMCOMM14,MML
MMCOMM16,MML
MMCOMM20,MML
MMCOMM24,MML
MMCOMEOT,MML
MMUSCM01,MML
MMUSCM02,MML
MMUSCM03,MML
MMUSCM04,MML
MMUSCM05,MML
MMUSCM06,MML
MMUSCM07,MML
MMUSCM08,MML
MMUSCM09,MML
MMUSCM10,MML
MMLCOMM,MML
MTENDOSP,MMT
MTPSYCSP,MMT
MMTCOMM,MMT
MOTCOMM,MOT
MPRCOM01,MPC
MPRCOM02,MPC
MPRCOM03,MPC
MPRCOM04,MPC
MPRCOM05,MPC
MPRCOM06,MPC
MPRCOM07,MPC
MPRCOM08,MPC
MPRCOM09,MPC
MPRCOM10,MPC
MPRCOM11,MPC
MPRCOM12,MPC
MPRCOM13,MPC
MPRCOM14,MPC
MPRCOM15,MPC
MPRCOM16,MPC
MPRCOM17,MPC
MPRCOM18,MPC
MPRCOM19,MPC
MPCCOMM,MPC
MPCOMD01,MPR
MPCOMD02,MPR
MPCOMD03,MPR
MPCOMD04,MPR
MPCOMD05,MPR
MPCOMD06,MPR
MPCOMD07,MPR
MPCOMD08,MPR
MPCOMD09,MPR
MPCOMD10,MPR
MPCOMD11,MPR
MPCOMD12,MPR
MPCOMD13,MPR
MPCOMD14,MPR
MPCOMD15,MPR
MPCOMD16,MPR
MPCOMD17,MPR
MPCOMD18,MPR
MPCOMD19,MPR
MPCOMD20,MPR
MPCOMD21,MPR
MPCOMD22,MPR
MPCOMD23,MPR
MPCOMD24,MPR
MPCOMD25,MPR
MPCOMD26,MPR
MPCOMD27,MPR
MPCOMD28,MPR
MPCOMD29,MPR
MPCOMD30,MPR
MPCOMD31,MPR
MPCOMD32,MPR
MPCOMD33,MPR
MPCOMD34,MPR
MPCOMD35,MPR
MPCOMD36,MPR
MPCOMD37,MPR
MPCOMD38,MPR
MPCOMD39,MPR
MPCOMD40,MPR
MPCOMD41,MPR
MPCOMD42,MPR
MPCOMD85,MPR
MPCOMD86,MPR
MPCOMD87,MPR
MPRCOMM,MPR
MVOTHRSP,MVF
MVFCOMM,MVF
NFOCOMM,NFO
NMRXOTSP,NMS
NMDCCONV,NMS
NMOTCRSP,NMS
NMSCOMM,NMS
NXCCOMM,NXC
NXWCOMM,NXW
OCDCOMM,OCD
OFSAMPID,OFT
OFTCOM,OFT
ONXCOMM,ONX
PBACOMM,PBA
PBBCNOSP,PBC
PBBCOSP,PBC
PBCCOMM,PBC
PCLCOMM,PCL
PCINDOTH,PCM
PCMCOMM,PCM
PDSECTN,PDR
PDPLATRA,PDR
PDPSRVID,PDR
PDPSCOMM,PDR
PDSITESP,PDR
PDIRBSP,PDR
PDPMRVID,PDR
PVCOMM,PDR
PDTYPSP,PDV
PDDESCPT,PDV
PDACTION,PDV
PDPREVRE,PDV
PDVCOMM,PDV
PEPNOSP,PEG
PEGCOMM,PEG
PEGASP,PEX
PESHNSP,PEX
PEHDNKSP,PEX
PEENTSP,PEX
PECARDSP,PEX
PERESPSP,PEX
PEGASTSP,PEX
PEEXTRSP,PEX
PELYMPSP,PEX
PEMUSCSP,PEX
PENEURSP,PEX
PEINJSSP,PEX
PEOTHESP,PEX
PEBDHBSP,PEX
PEHLTHSP,PEX
PEXCOMM,PEX
PMUCOMM,PM2
PMOSITE,NONE
PMORCSP,NONE
PO1ABNSP,PO1
PO1COMM,PO1
PO2ABNSP,PO2
PO2COMM,PO2
PO3ABNSP,PO3
PO3COMM,PO3
PO4ABNSP,PO4
PO4COMM,PO4
PPSYSNM,NONE
PPPRCNM,NONE
PPOTSET,NONE
PPAMSET,NONE
PPMIXSET,NONE
PPCRESP,NONE
PPPYSP,NONE
PPRSSP,NONE
PPICOMM,NONE
PRHCOMM,PR2
PROTCNSP,PRG
PROTCMSP,PRG
PRRSOBSP,PRG
PRGCOMM,PRG
PSCCOMM,PS2
PSFINDSP,PSF
PSUSESP,PSF
PSPRMSP,PSF
PSTRTSRV,PSF
PSPSYHSP,PSF
PSMEDSP,PSF
PSSCHSP,PSI
PSFCOMM,PSF
PSPACISO,PSI
PSASINSP,PSI
PSLATNSP,PSI
PSMDEASP,PSI
PSBLCKSP,PSI
PSRACESP,PSI
PSICOMM,PSI
PSMCOMM,PSM
PSSLPSP,PSQ
PSRSOTSP,PSS
PSOTELIG,PSS
PSNSCHSP,PSS
PSSCOMM,PSS
PSNCOTSP,NONE
